MonthStart,AccountCode,AccountName,Type,Budget
2025-01-01,4010,Sales Revenue,Revenue,2035000
2025-01-01,4020,Other Income,Other Income,66000
2025-01-01,5010,COGS,COGS,1210000
2025-01-01,6010,Salaries,OpEx,462000
2025-01-01,6020,Rent,OpEx,93500
2025-01-01,6030,Marketing,OpEx,132000
2025-01-01,6040,Utilities,OpEx,30800
2025-01-01,6050,Travel,OpEx,49500
2025-01-01,6060,Depreciation,OpEx,104500
2025-02-01,4010,Sales Revenue,Revenue,2035000
2025-02-01,4020,Other Income,Other Income,66000
2025-02-01,5010,COGS,COGS,1210000
2025-02-01,6010,Salaries,OpEx,462000
2025-02-01,6020,Rent,OpEx,93500
2025-02-01,6030,Marketing,OpEx,132000
2025-02-01,6040,Utilities,OpEx,30800
2025-02-01,6050,Travel,OpEx,49500
2025-02-01,6060,Depreciation,OpEx,104500
2025-03-01,4010,Sales Revenue,Revenue,2035000
2025-03-01,4020,Other Income,Other Income,66000
2025-03-01,5010,COGS,COGS,1210000
2025-03-01,6010,Salaries,OpEx,462000
2025-03-01,6020,Rent,OpEx,93500
2025-03-01,6030,Marketing,OpEx,132000
2025-03-01,6040,Utilities,OpEx,30800
2025-03-01,6050,Travel,OpEx,49500
2025-03-01,6060,Depreciation,OpEx,104500
2025-04-01,4010,Sales Revenue,Revenue,2035000
2025-04-01,4020,Other Income,Other Income,66000
2025-04-01,5010,COGS,COGS,1210000
2025-04-01,6010,Salaries,OpEx,462000
2025-04-01,6020,Rent,OpEx,93500
2025-04-01,6030,Marketing,OpEx,132000
2025-04-01,6040,Utilities,OpEx,30800
2025-04-01,6050,Travel,OpEx,49500
2025-04-01,6060,Depreciation,OpEx,104500
2025-05-01,4010,Sales Revenue,Revenue,2035000
2025-05-01,4020,Other Income,Other Income,66000
2025-05-01,5010,COGS,COGS,1210000
2025-05-01,6010,Salaries,OpEx,462000
2025-05-01,6020,Rent,OpEx,93500
2025-05-01,6030,Marketing,OpEx,132000
2025-05-01,6040,Utilities,OpEx,30800
2025-05-01,6050,Travel,OpEx,49500
2025-05-01,6060,Depreciation,OpEx,104500
2025-06-01,4010,Sales Revenue,Revenue,2035000
2025-06-01,4020,Other Income,Other Income,66000
2025-06-01,5010,COGS,COGS,1210000
2025-06-01,6010,Salaries,OpEx,462000
2025-06-01,6020,Rent,OpEx,93500
2025-06-01,6030,Marketing,OpEx,132000
2025-06-01,6040,Utilities,OpEx,30800
2025-06-01,6050,Travel,OpEx,49500
2025-06-01,6060,Depreciation,OpEx,104500
2025-07-01,4010,Sales Revenue,Revenue,2035000
2025-07-01,4020,Other Income,Other Income,66000
2025-07-01,5010,COGS,COGS,1210000
2025-07-01,6010,Salaries,OpEx,462000
2025-07-01,6020,Rent,OpEx,93500
2025-07-01,6030,Marketing,OpEx,132000
2025-07-01,6040,Utilities,OpEx,30800
2025-07-01,6050,Travel,OpEx,49500
2025-07-01,6060,Depreciation,OpEx,104500
2025-08-01,4010,Sales Revenue,Revenue,2035000
2025-08-01,4020,Other Income,Other Income,66000
2025-08-01,5010,COGS,COGS,1210000
2025-08-01,6010,Salaries,OpEx,462000
2025-08-01,6020,Rent,OpEx,93500
2025-08-01,6030,Marketing,OpEx,132000
2025-08-01,6040,Utilities,OpEx,30800
2025-08-01,6050,Travel,OpEx,49500
2025-08-01,6060,Depreciation,OpEx,104500
2025-09-01,4010,Sales Revenue,Revenue,2035000
2025-09-01,4020,Other Income,Other Income,66000
2025-09-01,5010,COGS,COGS,1210000
2025-09-01,6010,Salaries,OpEx,462000
2025-09-01,6020,Rent,OpEx,93500
2025-09-01,6030,Marketing,OpEx,132000
2025-09-01,6040,Utilities,OpEx,30800
2025-09-01,6050,Travel,OpEx,49500
2025-09-01,6060,Depreciation,OpEx,104500
2025-10-01,4010,Sales Revenue,Revenue,2035000
2025-10-01,4020,Other Income,Other Income,66000
2025-10-01,5010,COGS,COGS,1210000
2025-10-01,6010,Salaries,OpEx,462000
2025-10-01,6020,Rent,OpEx,93500
2025-10-01,6030,Marketing,OpEx,132000
2025-10-01,6040,Utilities,OpEx,30800
2025-10-01,6050,Travel,OpEx,49500
2025-10-01,6060,Depreciation,OpEx,104500
2025-11-01,4010,Sales Revenue,Revenue,2035000
2025-11-01,4020,Other Income,Other Income,66000
2025-11-01,5010,COGS,COGS,1210000
2025-11-01,6010,Salaries,OpEx,462000
2025-11-01,6020,Rent,OpEx,93500
2025-11-01,6030,Marketing,OpEx,132000
2025-11-01,6040,Utilities,OpEx,30800
2025-11-01,6050,Travel,OpEx,49500
2025-11-01,6060,Depreciation,OpEx,104500
2025-12-01,4010,Sales Revenue,Revenue,2035000
2025-12-01,4020,Other Income,Other Income,66000
2025-12-01,5010,COGS,COGS,1210000
2025-12-01,6010,Salaries,OpEx,462000
2025-12-01,6020,Rent,OpEx,93500
2025-12-01,6030,Marketing,OpEx,132000
2025-12-01,6040,Utilities,OpEx,30800
2025-12-01,6050,Travel,OpEx,49500
2025-12-01,6060,Depreciation,OpEx,104500
