MonthStart,USDINR,EURINR,GBPINR
2024-01-01,82.66,89.42,104.02
2024-02-01,82.5,89.05,103.77
2024-03-01,82.72,88.48,103.84
2024-04-01,82.66,87.9,103.61
2024-05-01,82.79,87.91,103.0
2024-06-01,83.27,88.26,103.66
2024-07-01,82.88,87.98,103.01
2024-08-01,83.16,87.7,102.49
2024-09-01,83.08,88.2,102.94
2024-10-01,82.84,87.77,103.53
2024-11-01,82.91,88.02,102.95
2024-12-01,82.46,88.24,102.85
2025-01-01,82.04,88.77,103.04
2025-02-01,82.34,88.27,103.54
2025-03-01,81.91,88.7,103.47
2025-04-01,81.74,88.77,104.07
2025-05-01,81.51,88.32,104.11
2025-06-01,81.25,87.85,103.63
2025-07-01,80.8,87.5,103.37
2025-08-01,80.61,87.81,103.07
2025-09-01,80.61,87.42,102.86
2025-10-01,80.12,87.12,102.18
2025-11-01,80.36,87.18,101.75
2025-12-01,80.33,87.7,101.2
