MonthStart,AccountCode,AccountName,Statement,Type,Amount
2024-01-01,4010,Sales Revenue,P&L,Revenue,1797854
2024-01-01,4020,Other Income,P&L,Other Income,53715
2024-01-01,5010,COGS,P&L,COGS,1119923
2024-01-01,6010,Salaries,P&L,OpEx,412817
2024-01-01,6020,Rent,P&L,OpEx,85061
2024-01-01,6030,Marketing,P&L,OpEx,114198
2024-01-01,6040,Utilities,P&L,OpEx,26020
2024-01-01,6050,Travel,P&L,OpEx,45167
2024-01-01,6060,Depreciation,P&L,OpEx,95000
2024-01-01,1010,Cash,B/S,Asset,934871
2024-01-01,1020,Accounts Receivable,B/S,Asset,1142464
2024-01-01,1030,Inventory,B/S,Asset,728921
2024-01-01,2010,Accounts Payable,B/S,Liability,682709
2024-01-01,1040,Fixed Assets (net),B/S,Asset,6500000
2024-01-01,2020,Bank Loan,B/S,Liability,3000000
2024-01-01,3000,Share Capital,B/S,Equity,2000000
2024-01-01,3010,Retained Earnings,B/S,Equity,1800000
2024-02-01,4010,Sales Revenue,P&L,Revenue,1956482
2024-02-01,4020,Other Income,P&L,Other Income,53495
2024-02-01,5010,COGS,P&L,COGS,1068785
2024-02-01,6010,Salaries,P&L,OpEx,424252
2024-02-01,6020,Rent,P&L,OpEx,86190
2024-02-01,6030,Marketing,P&L,OpEx,123948
2024-02-01,6040,Utilities,P&L,OpEx,27675
2024-02-01,6050,Travel,P&L,OpEx,55994
2024-02-01,6060,Depreciation,P&L,OpEx,95475
2024-02-01,1010,Cash,B/S,Asset,1031731
2024-02-01,1020,Accounts Receivable,B/S,Asset,1197402
2024-02-01,1030,Inventory,B/S,Asset,735603
2024-02-01,2010,Accounts Payable,B/S,Liability,653079
2024-02-01,1040,Fixed Assets (net),B/S,Asset,6405000
2024-02-01,2020,Bank Loan,B/S,Liability,2975000
2024-02-01,3000,Share Capital,B/S,Equity,2000000
2024-02-01,3010,Retained Earnings,B/S,Equity,1895000
2024-03-01,4010,Sales Revenue,P&L,Revenue,1811244
2024-03-01,4020,Other Income,P&L,Other Income,66347
2024-03-01,5010,COGS,P&L,COGS,1068434
2024-03-01,6010,Salaries,P&L,OpEx,425585
2024-03-01,6020,Rent,P&L,OpEx,86089
2024-03-01,6030,Marketing,P&L,OpEx,115632
2024-03-01,6040,Utilities,P&L,OpEx,28496
2024-03-01,6050,Travel,P&L,OpEx,35514
2024-03-01,6060,Depreciation,P&L,OpEx,95950
2024-03-01,1010,Cash,B/S,Asset,882959
2024-03-01,1020,Accounts Receivable,B/S,Asset,1295100
2024-03-01,1030,Inventory,B/S,Asset,770964
2024-03-01,2010,Accounts Payable,B/S,Liability,672047
2024-03-01,1040,Fixed Assets (net),B/S,Asset,6310000
2024-03-01,2020,Bank Loan,B/S,Liability,2950000
2024-03-01,3000,Share Capital,B/S,Equity,2000000
2024-03-01,3010,Retained Earnings,B/S,Equity,1990000
2024-04-01,4010,Sales Revenue,P&L,Revenue,1903456
2024-04-01,4020,Other Income,P&L,Other Income,60045
2024-04-01,5010,COGS,P&L,COGS,1089673
2024-04-01,6010,Salaries,P&L,OpEx,431320
2024-04-01,6020,Rent,P&L,OpEx,86618
2024-04-01,6030,Marketing,P&L,OpEx,110579
2024-04-01,6040,Utilities,P&L,OpEx,28758
2024-04-01,6050,Travel,P&L,OpEx,46250
2024-04-01,6060,Depreciation,P&L,OpEx,96425
2024-04-01,1010,Cash,B/S,Asset,1002314
2024-04-01,1020,Accounts Receivable,B/S,Asset,1196984
2024-04-01,1030,Inventory,B/S,Asset,839926
2024-04-01,2010,Accounts Payable,B/S,Liability,653105
2024-04-01,1040,Fixed Assets (net),B/S,Asset,6215000
2024-04-01,2020,Bank Loan,B/S,Liability,2925000
2024-04-01,3000,Share Capital,B/S,Equity,2000000
2024-04-01,3010,Retained Earnings,B/S,Equity,2085000
2024-05-01,4010,Sales Revenue,P&L,Revenue,1862280
2024-05-01,4020,Other Income,P&L,Other Income,65921
2024-05-01,5010,COGS,P&L,COGS,1075143
2024-05-01,6010,Salaries,P&L,OpEx,428211
2024-05-01,6020,Rent,P&L,OpEx,85901
2024-05-01,6030,Marketing,P&L,OpEx,129812
2024-05-01,6040,Utilities,P&L,OpEx,29769
2024-05-01,6050,Travel,P&L,OpEx,47576
2024-05-01,6060,Depreciation,P&L,OpEx,96900
2024-05-01,1010,Cash,B/S,Asset,907534
2024-05-01,1020,Accounts Receivable,B/S,Asset,1298824
2024-05-01,1030,Inventory,B/S,Asset,791777
2024-05-01,2010,Accounts Payable,B/S,Liability,697718
2024-05-01,1040,Fixed Assets (net),B/S,Asset,6120000
2024-05-01,2020,Bank Loan,B/S,Liability,2900000
2024-05-01,3000,Share Capital,B/S,Equity,2000000
2024-05-01,3010,Retained Earnings,B/S,Equity,2180000
2024-06-01,4010,Sales Revenue,P&L,Revenue,1882963
2024-06-01,4020,Other Income,P&L,Other Income,67772
2024-06-01,5010,COGS,P&L,COGS,1187665
2024-06-01,6010,Salaries,P&L,OpEx,430054
2024-06-01,6020,Rent,P&L,OpEx,87411
2024-06-01,6030,Marketing,P&L,OpEx,103546
2024-06-01,6040,Utilities,P&L,OpEx,29625
2024-06-01,6050,Travel,P&L,OpEx,49518
2024-06-01,6060,Depreciation,P&L,OpEx,97375
2024-06-01,1010,Cash,B/S,Asset,1023399
2024-06-01,1020,Accounts Receivable,B/S,Asset,1196149
2024-06-01,1030,Inventory,B/S,Asset,765747
2024-06-01,2010,Accounts Payable,B/S,Liability,706292
2024-06-01,1040,Fixed Assets (net),B/S,Asset,6025000
2024-06-01,2020,Bank Loan,B/S,Liability,2875000
2024-06-01,3000,Share Capital,B/S,Equity,2000000
2024-06-01,3010,Retained Earnings,B/S,Equity,2275000
2024-07-01,4010,Sales Revenue,P&L,Revenue,1759939
