OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount
1,2024-07-23,15,21,6,499,0
2,2025-01-28,12,7,5,14999,0
3,2023-12-17,18,24,4,7499,0
4,2025-08-04,13,9,4,5999,0.1
5,2023-04-25,8,2,6,52999,0.15
6,2024-07-02,3,7,6,14999,0
7,2025-10-19,13,21,8,499,0
8,2024-06-26,5,8,5,6999,0.15
9,2025-03-28,12,8,3,6999,0.2
10,2023-07-06,25,2,2,52999,0
11,2023-11-24,26,22,7,3999,0
12,2025-02-27,13,20,8,599,0.05
13,2023-01-24,22,24,2,7499,0.05
14,2024-11-27,4,10,7,10999,0
15,2025-07-18,1,24,5,7499,0
16,2025-11-05,30,4,5,11999,0
17,2023-11-10,12,25,3,12499,0
18,2024-10-25,16,1,2,65999,0.1
19,2024-09-21,8,2,4,52999,0
20,2023-06-25,24,16,2,399,0
21,2023-09-20,22,16,3,399,0.05
22,2025-12-16,28,20,7,599,0
23,2024-02-16,23,10,7,10999,0.1
24,2025-06-16,29,17,8,299,0
25,2024-05-22,8,3,6,21999,0
26,2024-04-16,19,8,1,6999,0
27,2023-05-01,8,3,1,21999,0.1
28,2023-05-26,17,8,5,6999,0.2
29,2024-03-14,18,5,8,799,0
30,2025-08-26,26,14,4,4699,0
31,2023-07-18,22,14,6,4699,0.15
32,2025-04-21,15,24,1,7499,0
33,2023-05-05,13,24,6,7499,0
34,2024-05-24,7,7,8,14999,0
35,2025-05-14,6,9,8,5999,0
36,2023-06-04,15,26,2,1899,0
37,2023-01-31,3,25,4,12499,0
38,2025-04-12,16,16,4,399,0.15
39,2023-05-01,6,13,1,5499,0.15
40,2024-06-27,30,26,8,1899,0.05
41,2025-05-16,23,24,8,7499,0
42,2024-01-24,10,7,1,14999,0
43,2024-10-04,2,2,8,52999,0
44,2023-04-27,17,3,3,21999,0
45,2023-05-20,22,8,7,6999,0
46,2024-05-19,19,20,1,599,0
47,2025-05-08,22,19,6,449,0.05
48,2024-02-23,22,23,6,8499,0
49,2024-06-27,13,5,5,799,0.2
50,2024-10-09,30,25,2,12499,0
51,2025-07-27,20,19,2,449,0
52,2024-03-12,17,9,3,5999,0.1
53,2023-05-21,29,8,6,6999,0.05
54,2023-11-20,15,18,5,1599,0
55,2024-09-05,30,22,2,3999,0
56,2024-06-25,4,4,3,11999,0.05
57,2024-07-31,20,7,6,14999,0
58,2024-06-24,17,16,5,399,0
59,2023-07-09,21,14,5,4699,0
60,2023-01-08,11,25,3,12499,0.05
61,2023-11-27,24,15,7,24999,0
62,2023-08-18,3,23,3,8499,0
63,2025-01-26,19,18,3,1599,0.15
64,2023-09-19,2,10,6,10999,0
65,2025-01-02,7,22,4,3999,0
66,2024-12-25,25,18,7,1599,0
67,2024-04-29,28,6,3,2999,0.15
68,2023-02-20,6,24,6,7499,0.15
69,2024-05-23,9,6,2,2999,0.15
70,2023-03-21,28,16,4,399,0
71,2025-07-31,12,10,4,10999,0
72,2023-02-18,22,7,7,14999,0.1
73,2024-07-24,28,3,5,21999,0.1
74,2025-11-09,13,22,6,3999,0
75,2023-08-25,29,9,3,5999,0.05
76,2023-03-20,4,20,7,599,0.1
77,2024-10-04,14,20,2,599,0.15
78,2024-01-25,9,2,7,52999,0
79,2025-11-30,30,26,4,1899,0.1
80,2025-06-02,3,22,6,3999,0.1
81,2023-09-13,24,10,5,10999,0.15
82,2024-10-30,13,23,5,8499,0
83,2024-01-28,14,22,7,3999,0
84,2024-09-08,13,18,1,1599,0.05
85,2024-08-10,7,14,6,4699,0.2
86,2025-06-23,15,22,4,3999,0.2
87,2023-12-14,22,3,5,21999,0.1
88,2023-07-11,27,25,4,12499,0.05
89,2024-04-05,26,7,3,14999,0
90,2023-04-05,8,16,2,399,0.2
91,2025-04-28,29,21,4,499,0.15
92,2025-10-09,13,8,3,6999,0
93,2023-08-07,25,14,4,4699,0
94,2025-11-26,15,2,4,52999,0
95,2025-07-23,5,26,8,1899,0.1
96,2025-06-25,20,24,7,7499,0.2
97,2023-11-22,24,16,8,399,0.05
98,2024-05-21,27,21,5,499,0.2
99,2024-05-04,9,15,2,24999,0.05
100,2024-04-25,9,11,6,15499,0
101,2023-10-11,5,8,7,6999,0
102,2024-03-14,3,14,7,4699,0.1
103,2025-08-12,14,2,4,52999,0.15
104,2025-03-08,29,25,1,12499,0.15
105,2025-09-03,1,12,5,18999,0.15
106,2025-05-08,18,24,4,7499,0.2
107,2024-03-25,9,14,8,4699,0
108,2025-03-07,11,22,7,3999,0
109,2025-08-15,30,5,1,799,0.15
110,2023-02-25,3,21,7,499,0
111,2025-08-03,6,2,5,52999,0.15
112,2024-11-01,7,15,6,24999,0.1
113,2025-02-15,9,25,7,12499,0.05
114,2023-06-17,16,1,1,65999,0.1
115,2024-04-04,21,3,1,21999,0
116,2024-05-21,7,1,3,65999,0
117,2023-09-16,16,22,2,3999,0
118,2025-08-10,23,9,6,5999,0
119,2023-08-23,25,6,5,2999,0
120,2023-02-22,30,10,7,10999,0.15
121,2024-02-11,3,19,4,449,0
122,2024-09-09,28,22,2,3999,0
123,2024-12-12,18,14,6,4699,0
124,2025-11-02,21,11,1,15499,0.15
125,2025-09-30,4,14,6,4699,0.2
126,2023-11-10,14,6,5,2999,0.2
127,2025-08-10,14,24,5,7499,0.1
128,2024-05-17,27,3,5,21999,0.2
129,2024-05-14,25,15,7,24999,0.1
130,2023-02-28,16,11,3,15499,0.2
131,2024-03-10,12,26,5,1899,0.1
132,2024-07-26,29,20,5,599,0
133,2025-11-24,7,3,4,21999,0.15
134,2025-09-27,18,25,4,12499,0.2
135,2025-10-02,15,26,1,1899,0
136,2024-08-25,8,13,4,5499,0.05
137,2025-01-25,16,18,6,1599,0.15
138,2024-11-08,12,23,8,8499,0.05
139,2024-09-19,9,8,2,6999,0
140,2024-10-08,4,24,3,7499,0
141,2024-03-19,24,16,5,399,0.05
142,2023-07-25,27,7,5,14999,0
143,2025-01-09,6,10,1,10999,0
144,2024-07-15,2,2,5,52999,0
145,2025-10-02,4,1,5,65999,0.2
146,2025-09-07,15,11,3,15499,0
147,2024-06-01,28,16,2,399,0
148,2025-03-31,16,3,1,21999,0
149,2023-11-02,26,19,5,449,0
150,2024-05-23,4,18,7,1599,0
151,2025-12-06,13,15,8,24999,0.05
152,2025-05-28,10,19,1,449,0
153,2024-03-01,21,7,5,14999,0
154,2023-11-18,8,6,2,2999,0
155,2023-01-06,14,15,8,24999,0.05
156,2023-03-08,8,10,5,10999,0.2
157,2023-05-26,22,8,5,6999,0
158,2025-05-20,4,18,4,1599,0
159,2024-06-28,27,5,2,799,0
160,2023-12-06,26,10,5,10999,0.2
161,2023-09-12,15,23,5,8499,0.15
162,2024-07-11,17,18,8,1599,0.2
163,2023-06-14,20,2,7,52999,0.1
164,2024-05-27,1,3,4,21999,0
165,2024-07-05,19,2,3,52999,0.2
166,2025-11-28,21,15,5,24999,0
167,2025-06-11,21,16,2,399,0.2
168,2024-12-13,14,11,6,15499,0
169,2023-11-26,11,14,8,4699,0.05
170,2025-03-31,27,25,1,12499,0.2
171,2023-06-30,11,9,6,5999,0
172,2025-04-07,28,17,1,299,0.2
173,2025-04-26,2,7,6,14999,0.2
174,2025-06-24,25,2,4,52999,0.05
175,2023-09-26,30,10,8,10999,0.2
176,2023-09-06,1,21,4,499,0
177,2024-09-28,18,1,7,65999,0
178,2024-04-05,27,4,8,11999,0
179,2023-11-12,16,23,5,8499,0.05
180,2025-04-30,27,16,8,399,0
181,2025-07-24,18,5,7,799,0
182,2025-11-06,24,5,2,799,0.05
183,2025-04-29,11,26,5,1899,0
184,2024-08-02,24,10,8,10999,0
185,2025-07-03,18,16,6,399,0.1
186,2025-02-11,15,11,4,15499,0
187,2025-02-23,8,25,7,12499,0
188,2024-10-13,24,16,7,399,0.15
189,2023-11-08,16,2,3,52999,0.1
190,2023-07-25,28,15,2,24999,0.2
191,2023-02-01,24,5,7,799,0
192,2023-06-03,16,26,5,1899,0.1
193,2025-03-25,21,3,6,21999,0.15
194,2024-10-10,21,23,8,8499,0
195,2023-05-21,8,21,5,499,0
196,2023-07-05,14,4,2,11999,0.2
197,2023-12-07,23,10,1,10999,0
198,2024-10-26,26,2,5,52999,0.1
199,2025-02-06,14,5,4,799,0.15
200,2024-01-04,6,6,2,2999,0.15
201,2024-05-08,16,19,3,449,0
202,2025-08-02,21,9,8,5999,0.05
203,2023-01-20,29,26,8,1899,0.05
204,2023-11-20,3,15,6,24999,0.05
205,2025-05-18,23,9,8,5999,0.05
206,2024-02-12,13,16,2,399,0
207,2025-02-20,19,12,5,18999,0.05
208,2023-02-14,27,22,7,3999,0.05
209,2023-01-17,19,22,1,3999,0.2
210,2024-08-09,25,26,4,1899,0.1
211,2024-03-24,21,7,5,14999,0
212,2023-07-18,29,21,1,499,0.05
213,2025-06-21,2,19,6,449,0
214,2023-07-04,30,10,6,10999,0.15
215,2023-12-26,7,5,6,799,0.05
216,2023-12-03,9,16,5,399,0.1
217,2023-08-24,15,3,3,21999,0
218,2025-03-24,28,26,6,1899,0
219,2025-03-19,1,9,2,5999,0.2
220,2025-01-24,22,24,5,7499,0.15
221,2025-01-30,4,22,4,3999,0.2
222,2023-02-21,20,18,6,1599,0
223,2023-05-10,21,15,5,24999,0.15
