MonthStart,Month,Region,SalesTarget
2025-01-01,1,North,247000
2025-01-01,1,South,217000
2025-01-01,1,East,315000
2025-01-01,1,West,291000
2025-02-01,2,North,183000
2025-02-01,2,South,253000
2025-02-01,2,East,294000
2025-02-01,2,West,277000
2025-03-01,3,North,353000
2025-03-01,3,South,260000
2025-03-01,3,East,315000
2025-03-01,3,West,354000
2025-04-01,4,North,190000
2025-04-01,4,South,204000
2025-04-01,4,East,316000
2025-04-01,4,West,343000
2025-05-01,5,North,270000
2025-05-01,5,South,290000
2025-05-01,5,East,336000
2025-05-01,5,West,346000
2025-06-01,6,North,249000
2025-06-01,6,South,265000
2025-06-01,6,East,249000
2025-06-01,6,West,248000
2025-07-01,7,North,205000
2025-07-01,7,South,245000
2025-07-01,7,East,347000
2025-07-01,7,West,329000
2025-08-01,8,North,280000
2025-08-01,8,South,298000
2025-08-01,8,East,377000
2025-08-01,8,West,352000
2025-09-01,9,North,371000
2025-09-01,9,South,241000
2025-09-01,9,East,367000
2025-09-01,9,West,352000
2025-10-01,10,North,330000
2025-10-01,10,South,377000
2025-10-01,10,East,229000
2025-10-01,10,West,313000
2025-11-01,11,North,266000
2025-11-01,11,South,353000
2025-11-01,11,East,356000
2025-11-01,11,West,226000
2025-12-01,12,North,260000
2025-12-01,12,South,320000
2025-12-01,12,East,182000
2025-12-01,12,West,352000
