OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount
21,2023-09-20,22,16,3,399,0.05
64,2023-09-19,2,10,6,10999,0
81,2023-09-13,24,10,5,10999,0.15
117,2023-09-16,16,22,2,3999,0
161,2023-09-12,15,23,5,8499,0.15
175,2023-09-26,30,10,8,10999,0.2
176,2023-09-06,1,21,4,499,0
254,2023-09-24,18,2,6,52999,0
305,2023-09-19,22,23,2,8499,0.15
310,2023-09-26,20,13,3,5499,0
329,2023-09-07,2,8,7,6999,0.2
355,2023-09-16,3,8,6,6999,0.1
400,2023-09-21,4,13,6,5499,0.1
421,2023-09-07,19,22,7,3999,0.15
457,2023-09-28,17,14,8,4699,0
531,2023-09-29,3,6,7,2999,0.2
598,2023-09-29,8,5,6,799,0
606,2023-09-25,19,16,6,399,0
608,2023-09-12,30,6,8,2999,0.2
619,2023-09-30,21,22,3,3999,0
631,2023-09-28,13,19,7,449,0.1
667,2023-09-25,8,10,5,10999,0.1
744,2023-09-16,2,14,2,4699,0.15
772,2023-09-28,21,6,1,2999,0
832,2023-09-29,23,24,1,7499,0
835,2023-09-25,16,16,2,399,0.15
846,2023-09-01,16,24,1,7499,0
855,2023-09-05,30,13,4,5499,0.2
861,2023-09-20,4,13,6,5499,0.15
866,2023-09-29,23,21,3,499,0.1
969,2023-09-01,24,8,8,6999,0
1004,2023-09-04,23,17,8,299,0.1
1035,2023-09-16,5,17,3,299,0
1055,2023-09-14,23,15,1,24999,0
1062,2023-09-07,25,23,4,8499,0.15
1075,2023-09-15,16,8,6,6999,0.1
1088,2023-09-23,6,2,4,52999,0
1240,2023-09-24,1,16,1,399,0
1244,2023-09-27,3,26,8,1899,0
1272,2023-09-15,5,1,2,65999,0
