customer_id,region,customer_segment,join_date
C-001,East,Consumer,2025-11-08
C-002,West,Consumer,2025-05-07
C-003,West,SMB,2025-06-26
C-004,North,Consumer,2025-12-01
C-005,West,Consumer,2025-07-28
C-006,West,Consumer,2025-01-08
C-007,West,Enterprise,2025-02-20
C-008,North,Consumer,2025-10-07
C-009,South,SMB,2025-01-03
C-010,South,Enterprise,2025-01-17
C-011,North,Enterprise,2025-08-18
C-012,South,SMB,2025-02-13
C-013,South,Enterprise,2025-02-23
C-014,South,Consumer,2025-10-24
C-015,North,Consumer,2025-05-18
C-016,South,Enterprise,2025-05-24
C-017,North,Consumer,2025-12-13
C-018,South,Consumer,2025-10-17
C-019,North,Enterprise,2025-06-28
C-020,North,SMB,2025-02-28
C-021,East,SMB,2025-04-13
C-022,South,Enterprise,2025-12-01
C-023,West,Enterprise,2025-06-01
C-024,West,Consumer,2025-04-08
C-025,West,SMB,2025-06-27
C-026,North,SMB,2025-11-10
C-027,North,Enterprise,2025-01-01
C-028,West,Enterprise,2025-07-16
C-029,East,Enterprise,2025-04-19
C-030,North,SMB,2025-11-08
C-031,North,SMB,2025-09-12
C-032,East,Consumer,2025-11-10
C-033,South,Enterprise,2025-05-01
C-034,North,Consumer,2025-05-06
C-035,North,Enterprise,2025-03-01
C-036,North,Consumer,2025-08-07
C-037,West,SMB,2025-10-01
C-038,East,SMB,2025-03-16
C-039,East,Consumer,2025-02-24
C-040,East,Enterprise,2025-02-03
C-041,West,SMB,2025-03-23
C-042,West,Enterprise,2025-03-22
C-043,East,Enterprise,2025-10-16
C-044,East,Consumer,2025-01-09
C-045,South,Consumer,2025-11-27
C-046,North,Consumer,2025-04-28
C-047,North,Consumer,2025-03-16
C-048,West,Enterprise,2025-09-18
C-049,West,Consumer,2025-03-18
C-050,West,Enterprise,2025-05-18
C-051,North,Enterprise,2025-01-19
C-052,West,Enterprise,2025-05-17
C-053,North,Enterprise,2025-10-18
C-054,East,Consumer,2025-12-08
C-055,South,Consumer,2025-02-23
C-056,West,SMB,2025-01-16
C-057,North,Enterprise,2025-10-01
C-058,East,Consumer,2025-08-08
C-059,East,Enterprise,2025-10-20
C-060,West,Consumer,2025-01-20
C-061,North,Enterprise,2025-01-22
C-062,West,SMB,2025-10-03
C-063,North,Consumer,2025-01-20
C-064,South,Consumer,2025-02-01
C-065,East,Enterprise,2025-08-18
C-066,West,Consumer,2025-12-25
C-067,North,SMB,2025-02-26
C-068,East,Consumer,2025-08-15
C-069,South,SMB,2025-08-27
C-070,South,Consumer,2025-06-22
C-071,South,SMB,2025-03-07
C-072,South,Consumer,2025-02-02
C-073,North,Consumer,2025-11-03
C-074,East,Consumer,2025-12-01
C-075,West,Enterprise,2025-09-07
C-076,East,Enterprise,2025-02-08
C-077,North,SMB,2025-09-22
C-078,South,Consumer,2025-08-09
C-079,North,Consumer,2025-09-26
C-080,West,Consumer,2025-05-16
C-081,East,Enterprise,2025-04-21
C-082,North,Enterprise,2025-05-05
C-083,East,Consumer,2025-03-12
C-084,West,Consumer,2025-05-28
C-085,North,Consumer,2025-06-15
C-086,South,SMB,2025-10-11
C-087,West,Enterprise,2025-06-27
C-088,West,SMB,2025-04-03
C-089,East,SMB,2025-08-15
C-090,West,SMB,2025-07-06
C-091,East,SMB,2025-01-11
C-092,North,Consumer,2025-06-18
C-093,North,Consumer,2025-04-23
C-094,East,Enterprise,2025-03-21
C-095,North,SMB,2025-08-20
C-096,West,Consumer,2025-12-18
C-097,East,Consumer,2025-01-22
C-098,West,SMB,2025-04-28
C-099,East,Enterprise,2025-09-04
C-100,West,Enterprise,2025-01-10
