order_id,order_date,customer_id,product_id,quantity,revenue,cost,status
O-0001,2026-06-08,C-010,P-21,2,2998,2143.48,Completed
O-0002,2026-04-06,C-020,P-12,3,1992.15,1251.24,Completed
O-0003,2026-05-22,C-051,P-42,4,1516.2,868.2,Completed
O-0004,2026-05-16,C-026,P-22,3,1017.45,600.49,Returned
O-0005,2026-04-23,C-022,P-41,1,629.1,393.35,Completed
O-0006,2026-05-06,C-067,P-32,4,5996,3009.05,Completed
O-0007,2026-06-06,C-062,P-32,2,2848.1,1479.06,Canceled
O-0008,2026-05-15,C-077,P-43,1,629.1,439.53,Completed
O-0009,2026-06-14,C-069,P-13,1,339.15,156.13,Completed
O-0010,2026-06-09,C-055,P-13,2,758.1,509.25,Returned
O-0011,2026-05-25,C-072,P-11,1,899.1,511.46,Completed
O-0012,2026-05-18,C-052,P-51,4,1356.6,827.04,Completed
O-0013,2026-06-11,C-022,P-12,1,629.1,313.33,Completed
O-0014,2026-05-31,C-024,P-33,1,1349.1,837.95,Completed
O-0015,2026-04-04,C-092,P-11,2,1798.2,908.19,Completed
O-0016,2026-05-13,C-051,P-22,1,399,216.16,Completed
O-0017,2026-05-29,C-089,P-32,1,1349.1,636.67,Completed
O-0018,2026-06-13,C-026,P-43,4,2656.2,1777.9,Completed
O-0019,2026-05-21,C-037,P-13,4,1356.6,874.31,Canceled
O-0020,2026-06-21,C-013,P-41,4,2516.4,1248.42,Returned
O-0021,2026-05-15,C-002,P-33,2,2998,1840.82,Completed
O-0022,2026-05-10,C-014,P-53,2,798,382.57,Completed
O-0023,2026-05-03,C-038,P-22,2,798,377.82,Canceled
O-0024,2026-05-24,C-035,P-53,3,1077.3,556.9,Completed
O-0025,2026-06-10,C-004,P-42,2,758.1,338.66,Completed
O-0026,2026-04-03,C-091,P-22,4,1436.4,755.4,Completed
O-0027,2026-04-13,C-053,P-43,4,2656.2,1162.72,Returned
O-0028,2026-04-20,C-074,P-33,4,5396.4,3404.0,Completed
O-0029,2026-06-21,C-093,P-23,4,1596,747.5,Completed
O-0030,2026-05-11,C-059,P-22,3,1077.3,593.43,Completed
O-0031,2026-05-25,C-098,P-43,1,699,478.2,Canceled
O-0032,2026-06-24,C-053,P-21,3,4047.3,2248.75,Completed
O-0033,2026-05-23,C-094,P-33,2,2998,1842.02,Canceled
O-0034,2026-05-12,C-064,P-31,1,1349.1,742.88,Completed
O-0035,2026-05-04,C-075,P-21,4,5696.2,3431.37,Completed
O-0036,2026-05-08,C-002,P-43,1,699,335.71,Returned
O-0037,2026-04-14,C-065,P-31,3,4272.15,3040.24,Completed
O-0038,2026-06-07,C-085,P-33,3,4272.15,2896.51,Completed
O-0039,2026-04-24,C-040,P-21,4,5396.4,3324.12,Completed
O-0040,2026-06-04,C-041,P-42,4,1596,952.98,Canceled
O-0041,2026-06-30,C-012,P-32,1,1274.15,823.34,Completed
O-0042,2026-04-10,C-062,P-51,2,758.1,544.07,Completed
O-0043,2026-06-29,C-069,P-31,4,5996,3557.35,Completed
O-0044,2026-06-30,C-057,P-22,1,359.1,233.23,Completed
O-0045,2026-05-06,C-043,P-11,4,3596.4,1860.14,Completed
O-0046,2026-04-21,C-041,P-43,3,1887.3,1062.79,Completed
O-0047,2026-06-29,C-013,P-22,3,1077.3,709.32,Returned
O-0048,2026-05-21,C-061,P-51,1,359.1,195.31,Completed
O-0049,2026-05-08,C-049,P-52,4,5996,4294.0,Completed
O-0050,2026-06-27,C-016,P-53,1,399,178.78,Canceled
O-0051,2026-05-07,C-062,P-11,3,2997,1660.53,Completed
O-0052,2026-04-21,C-012,P-52,3,4497,2051.44,Completed
O-0053,2026-05-03,C-048,P-42,3,1137.15,545.89,Canceled
O-0054,2026-04-26,C-073,P-32,2,2548.3,1808.93,Canceled
O-0055,2026-05-05,C-032,P-32,4,5996,2976.88,Completed
O-0056,2026-04-24,C-003,P-51,4,1516.2,843.9,Completed
O-0057,2026-06-16,C-079,P-12,4,2376.6,1387.48,Completed
O-0058,2026-04-18,C-044,P-21,2,2698.2,1575.58,Canceled
O-0059,2026-04-11,C-011,P-12,1,629.1,370.7,Completed
O-0060,2026-06-22,C-087,P-21,4,5996,3644.59,Completed
O-0061,2026-06-27,C-044,P-41,2,1258.2,552.15,Completed
O-0062,2026-05-05,C-021,P-41,4,2796,1196.45,Returned
O-0063,2026-04-20,C-003,P-51,2,798,485.23,Completed
O-0064,2026-04-17,C-092,P-31,3,3822.45,1690.46,Completed
O-0065,2026-05-06,C-083,P-12,2,1328.1,747.8,Completed
O-0066,2026-04-01,C-013,P-23,3,1197,503.25,Completed
O-0067,2026-06-11,C-022,P-43,3,1887.3,905.3,Canceled
O-0068,2026-05-14,C-003,P-42,2,798,380.99,Completed
O-0069,2026-06-30,C-093,P-11,4,3996,2698.01,Canceled
O-0070,2026-04-07,C-094,P-43,2,1258.2,832.61,Canceled
O-0071,2026-05-09,C-010,P-33,4,5696.2,3541.09,Completed
O-0072,2026-04-27,C-013,P-12,1,664.05,342.46,Completed
O-0073,2026-06-25,C-092,P-13,3,1077.3,484.28,Completed
O-0074,2026-05-05,C-096,P-51,3,1137.15,497.5,Completed
O-0075,2026-06-28,C-019,P-12,3,2097,1466.28,Returned
O-0076,2026-05-01,C-004,P-13,1,339.15,142.94,Canceled
O-0077,2026-05-15,C-010,P-43,2,1328.1,953.72,Canceled
O-0078,2026-06-12,C-059,P-43,4,2516.4,1807.41,Returned
O-0079,2026-05-28,C-064,P-41,2,1328.1,745.14,Completed
O-0080,2026-05-27,C-061,P-11,2,1898.1,1052.28,Completed
O-0081,2026-04-15,C-048,P-31,2,2698.2,1509.53,Completed
O-0082,2026-06-25,C-018,P-11,1,899.1,396.52,Completed
O-0083,2026-06-05,C-034,P-52,1,1349.1,745.05,Completed
O-0084,2026-05-21,C-038,P-21,4,5396.4,2837.17,Completed
O-0085,2026-04-09,C-006,P-53,1,359.1,228.83,Returned
O-0086,2026-04-09,C-059,P-51,4,1436.4,910.61,Returned
O-0087,2026-06-25,C-096,P-11,3,2847.15,1844.99,Completed
O-0088,2026-05-03,C-007,P-11,3,2547.45,1249.05,Completed
O-0089,2026-05-21,C-027,P-11,4,3996,2067.29,Canceled
O-0090,2026-05-22,C-054,P-12,1,629.1,329.23,Completed
O-0091,2026-06-30,C-021,P-32,4,5696.2,2476.9,Completed
O-0092,2026-05-25,C-046,P-31,3,4497,2734.85,Completed
O-0093,2026-05-14,C-062,P-42,1,359.1,171.08,Completed
O-0094,2026-05-19,C-092,P-23,4,1596,836.86,Completed
O-0095,2026-06-24,C-025,P-42,3,1017.45,502.19,Returned
O-0096,2026-05-17,C-015,P-53,3,1197,655.16,Completed
O-0097,2026-05-10,C-073,P-32,2,2548.3,1227.43,Canceled
O-0098,2026-05-12,C-076,P-31,3,4047.3,1920.58,Completed
O-0099,2026-04-10,C-008,P-51,4,1436.4,970.25,Completed
O-0100,2026-06-19,C-075,P-21,2,2698.2,1681.98,Returned
O-0101,2026-06-16,C-045,P-53,1,379.05,192.76,Completed
O-0102,2026-04-17,C-002,P-53,1,379.05,216.14,Canceled
O-0103,2026-06-24,C-084,P-53,4,1516.2,1072.2,Completed
O-0104,2026-04-13,C-007,P-31,3,4272.15,2887.29,Completed
O-0105,2026-04-29,C-047,P-13,3,1077.3,696.24,Completed
O-0106,2026-04-01,C-040,P-23,1,399,282.48,Completed
O-0107,2026-04-22,C-029,P-22,1,339.15,218.08,Canceled
O-0108,2026-05-17,C-014,P-32,4,5696.2,2645.99,Returned
O-0109,2026-05-11,C-002,P-42,1,399,242.65,Completed
O-0110,2026-04-01,C-007,P-41,1,629.1,279.63,Completed
O-0111,2026-04-15,C-083,P-11,2,1998,1075.02,Completed
O-0112,2026-06-15,C-034,P-41,1,664.05,289.74,Completed
O-0113,2026-04-25,C-012,P-32,1,1424.05,978.99,Completed
O-0114,2026-05-12,C-011,P-31,1,1349.1,603.62,Completed
O-0115,2026-04-12,C-033,P-52,3,3822.45,1887.56,Completed
O-0116,2026-04-03,C-078,P-41,1,594.15,386.66,Completed
O-0117,2026-04-13,C-097,P-43,2,1398,863.07,Returned
O-0118,2026-04-26,C-007,P-52,3,4497,2149.25,Returned
O-0119,2026-04-02,C-067,P-21,3,4047.3,2103.74,Completed
O-0120,2026-05-24,C-095,P-53,3,1197,627.37,Completed
O-0121,2026-05-13,C-047,P-42,2,718.2,475.4,Returned
O-0122,2026-04-17,C-020,P-32,4,5096.6,2924.99,Returned
O-0123,2026-04-28,C-093,P-13,1,359.1,203.5,Completed
O-0124,2026-06-08,C-049,P-12,1,594.15,262.9,Completed
O-0125,2026-04-28,C-014,P-33,1,1424.05,793.75,Completed
O-0126,2026-04-02,C-073,P-51,3,1077.3,642.27,Canceled
O-0127,2026-04-19,C-091,P-12,1,699,397.33,Canceled
O-0128,2026-06-26,C-056,P-32,3,3822.45,2215.18,Completed
O-0129,2026-06-21,C-100,P-22,2,678.3,438.21,Completed
O-0130,2026-04-19,C-068,P-42,4,1596,702.08,Canceled
O-0131,2026-04-21,C-099,P-42,2,798,547.23,Completed
O-0132,2026-04-29,C-019,P-13,3,1197,686.74,Completed
O-0133,2026-04-23,C-020,P-43,4,2656.2,1444.44,Canceled
O-0134,2026-06-13,C-069,P-21,1,1499,945.83,Completed
O-0135,2026-04-25,C-073,P-23,4,1596,686.07,Canceled
O-0136,2026-05-02,C-080,P-13,1,359.1,158.77,Completed
O-0137,2026-05-10,C-087,P-11,1,899.1,643.82,Completed
O-0138,2026-06-30,C-049,P-53,2,758.1,523.28,Completed
O-0139,2026-05-12,C-016,P-42,4,1356.6,710.79,Completed
O-0140,2026-06-04,C-095,P-41,3,1782.45,1273.27,Completed
O-0141,2026-06-28,C-029,P-33,3,4047.3,1876.67,Completed
O-0142,2026-06-13,C-023,P-43,4,2516.4,1127.7,Completed
O-0143,2026-06-14,C-074,P-13,3,1077.3,457.77,Returned
O-0144,2026-04-12,C-059,P-13,1,339.15,164.54,Completed
O-0145,2026-05-26,C-097,P-21,4,5096.6,3633.44,Completed
O-0146,2026-06-27,C-085,P-21,4,5396.4,3856.2,Canceled
O-0147,2026-04-29,C-022,P-12,3,1782.45,965.78,Canceled
O-0148,2026-06-03,C-052,P-41,4,2376.6,1318.16,Canceled
O-0149,2026-06-17,C-072,P-12,3,1782.45,846.67,Completed
O-0150,2026-06-03,C-022,P-42,2,678.3,387.63,Canceled
O-0151,2026-06-30,C-081,P-53,3,1197,847.1,Completed
O-0152,2026-04-16,C-078,P-31,2,2698.2,1746.41,Completed
O-0153,2026-05-14,C-006,P-53,2,798,442.83,Canceled
O-0154,2026-06-09,C-060,P-52,4,5096.6,3525.22,Canceled
O-0155,2026-04-27,C-036,P-23,1,339.15,148.81,Completed
O-0156,2026-05-30,C-048,P-13,3,1137.15,553.0,Completed
O-0157,2026-06-11,C-085,P-33,2,2698.2,1903.38,Completed
O-0158,2026-05-11,C-007,P-41,4,2516.4,1307.39,Completed
O-0159,2026-04-12,C-055,P-53,2,798,433.01,Completed
O-0160,2026-06-18,C-097,P-41,1,629.1,403.88,Completed
O-0161,2026-04-04,C-031,P-21,4,5096.6,3169.99,Completed
O-0162,2026-05-22,C-100,P-53,4,1436.4,834.15,Completed
O-0163,2026-06-20,C-032,P-51,4,1516.2,804.07,Completed
O-0164,2026-06-30,C-055,P-22,1,399,248.28,Completed
O-0165,2026-05-26,C-050,P-33,4,5996,2806.31,Completed
O-0166,2026-04-14,C-050,P-22,4,1356.6,761.86,Returned
O-0167,2026-04-05,C-077,P-53,1,339.15,158.98,Completed
O-0168,2026-06-13,C-067,P-33,1,1499,825.47,Completed
O-0169,2026-05-31,C-081,P-21,1,1499,1036.47,Completed
O-0170,2026-05-10,C-005,P-21,2,2998,1828.19,Completed
O-0171,2026-05-19,C-055,P-53,2,758.1,471.87,Completed
O-0172,2026-04-08,C-007,P-22,1,379.05,243.6,Completed
O-0173,2026-05-02,C-007,P-52,4,5396.4,2650.82,Completed
O-0174,2026-04-16,C-081,P-23,4,1356.6,789.58,Completed
O-0175,2026-05-21,C-016,P-11,2,1698.3,893.79,Completed
O-0176,2026-06-22,C-012,P-21,3,3822.45,2367.45,Completed
O-0177,2026-05-01,C-010,P-12,4,2376.6,1498.91,Completed
O-0178,2026-06-13,C-057,P-53,1,379.05,247.66,Completed
O-0179,2026-04-08,C-012,P-33,3,3822.45,2718.33,Completed
O-0180,2026-06-10,C-067,P-31,2,2548.3,1258.36,Returned
O-0181,2026-04-23,C-032,P-53,4,1436.4,902.26,Completed
O-0182,2026-04-13,C-031,P-23,3,1017.45,640.45,Completed
O-0183,2026-06-14,C-060,P-13,3,1017.45,475.66,Completed
O-0184,2026-05-05,C-067,P-53,1,339.15,185.19,Completed
O-0185,2026-05-20,C-029,P-23,1,339.15,186.55,Completed
O-0186,2026-05-31,C-011,P-42,1,339.15,216.42,Completed
O-0187,2026-04-20,C-084,P-41,3,2097,958.22,Completed
O-0188,2026-04-12,C-081,P-21,2,2848.1,1477.46,Completed
O-0189,2026-06-05,C-074,P-51,1,379.05,172.49,Completed
O-0190,2026-06-26,C-093,P-51,1,359.1,167.97,Completed
O-0191,2026-06-08,C-068,P-13,1,379.05,186.07,Completed
O-0192,2026-06-22,C-042,P-51,1,359.1,204.43,Completed
O-0193,2026-05-08,C-077,P-52,2,2698.2,1640.35,Completed
O-0194,2026-04-20,C-057,P-43,3,1992.15,1386.54,Completed
O-0195,2026-04-19,C-035,P-52,1,1349.1,857.73,Canceled
O-0196,2026-04-20,C-098,P-21,1,1349.1,885.41,Completed
O-0197,2026-06-11,C-010,P-11,2,1898.1,1144.64,Completed
O-0198,2026-05-03,C-051,P-21,3,4497,2030.7,Completed
O-0199,2026-06-06,C-047,P-11,4,3596.4,2195.57,Completed
O-0200,2026-06-17,C-086,P-41,3,1887.3,1282.05,Completed
O-0201,2026-06-01,C-083,P-21,1,1274.15,577.52,Completed
O-0202,2026-04-04,C-081,P-53,3,1017.45,572.37,Completed
O-0203,2026-06-14,C-091,P-23,3,1017.45,645.17,Completed
O-0204,2026-06-03,C-011,P-23,3,1197,805.47,Completed
O-0205,2026-05-17,C-023,P-41,3,1887.3,1242.14,Completed
O-0206,2026-05-22,C-066,P-43,3,2097,1408.35,Completed
O-0207,2026-06-04,C-005,P-42,1,379.05,249.35,Completed
O-0208,2026-06-26,C-021,P-52,3,4497,2141.57,Canceled
O-0209,2026-06-25,C-037,P-33,3,3822.45,2246.75,Completed
O-0210,2026-05-26,C-025,P-23,4,1356.6,850.69,Completed
O-0211,2026-06-08,C-032,P-21,1,1424.05,1008.62,Completed
O-0212,2026-06-02,C-057,P-41,4,2516.4,1676.85,Completed
O-0213,2026-06-28,C-036,P-21,1,1499,932.37,Completed
O-0214,2026-05-03,C-018,P-33,1,1499,913.74,Completed
O-0215,2026-05-17,C-070,P-31,3,4272.15,2632.41,Returned
O-0216,2026-06-10,C-057,P-32,3,4047.3,2691.95,Completed
