record_id,order_id,order_date,customer_id,region,status,quantity,unit_price,revenue,source_loaded_at
1,ENT-1001,2026-05-01,C-001,North,Completed,2,1200,2400,2026-05-02T06:00:00Z
2,ENT-1002,01/05/2026,C-002,north ,Completed,1,2400,2400,2026-05-02T06:00:00Z
3,ENT-1003,2026/05/02,C-003,SOUTH,Cancelled,1,900,900,2026-05-03T06:00:00Z
4,ENT-1004,,C-004,West,Completed,0,1500,0,2026-05-03T06:00:00Z
5,ENT-1005,2026-05-03,C-005,,Completed,3,800,2400,2026-05-04T06:00:00Z
6,ENT-1006,2026-05-03,C-999,East,Complete,2,1000,2000,2026-05-04T06:00:00Z
7,ENT-1007,2026-05-04,C-007,East,Completed,-1,1100,-1100,2026-05-05T06:00:00Z
8,ENT-1008,2027-01-01,C-008,North,Completed,2,1300,2600,2026-05-05T06:00:00Z
9,ENT-1002,01/05/2026,C-002,north ,Completed,1,2400,2400,2026-05-02T06:00:00Z
10,ENT-1010,2026-05-05,C-010,West,Returned,1,1700,1700,2026-05-06T06:00:00Z
