transaction_id,customer_id,transaction_date,category,amount,channel
TXN-001-1,CUST-001,2025-12-14,Electronics,653.91,App
TXN-001-2,CUST-001,2026-01-20,Home,1027.79,Store
TXN-001-3,CUST-001,2025-04-17,Fashion,1559.73,Store
TXN-001-4,CUST-001,2025-12-06,Electronics,1679.54,Web
TXN-001-5,CUST-001,2025-05-11,Beauty,1011.54,Web
TXN-001-6,CUST-001,2025-06-30,Electronics,1394.74,Web
TXN-002-1,CUST-002,2025-07-29,Fashion,949.99,App
TXN-002-2,CUST-002,2025-12-05,Fashion,1098.42,Web
TXN-002-3,CUST-002,2025-06-04,Electronics,433.95,App
TXN-002-4,CUST-002,2025-05-23,Sports,1279.98,App
TXN-002-5,CUST-002,2026-01-27,Fashion,1557.29,App
TXN-002-6,CUST-002,2026-02-17,Home,1702.44,App
TXN-002-7,CUST-002,2025-10-26,Home,1146.4,Store
TXN-002-8,CUST-002,2026-02-14,Home,617.76,Web
TXN-002-9,CUST-002,2025-07-10,Beauty,1194.04,Web
TXN-002-10,CUST-002,2025-09-12,Beauty,688.21,Web
TXN-002-11,CUST-002,2025-07-14,Home,585.1,Web
TXN-002-12,CUST-002,2025-12-19,Home,4063.6,App
TXN-002-13,CUST-002,2025-07-05,Sports,2295.48,App
TXN-002-14,CUST-002,2025-09-22,Electronics,556.97,App
TXN-002-15,CUST-002,2026-03-31,Sports,837.23,App
TXN-003-1,CUST-003,2025-08-16,Electronics,565.39,Store
TXN-003-2,CUST-003,2025-10-04,Beauty,587.01,Web
TXN-003-3,CUST-003,2026-03-27,Sports,799.6,Web
TXN-003-4,CUST-003,2026-03-18,Electronics,3986.51,App
TXN-003-5,CUST-003,2026-01-05,Home,1749.92,App
TXN-003-6,CUST-003,2026-03-31,Home,1509.38,App
TXN-003-7,CUST-003,2025-10-11,Electronics,1077.1,Store
TXN-003-8,CUST-003,2026-03-13,Sports,673.43,Web
TXN-003-9,CUST-003,2025-06-14,Electronics,1253.05,App
TXN-003-10,CUST-003,2026-03-31,Sports,3013.06,Web
TXN-003-11,CUST-003,2026-03-31,Beauty,1339.89,App
TXN-003-12,CUST-003,2025-06-18,Beauty,1024.79,Store
TXN-003-13,CUST-003,2025-12-17,Beauty,1048.91,Web
TXN-004-1,CUST-004,2026-03-31,Sports,1215.58,Store
TXN-004-2,CUST-004,2026-03-31,Beauty,1780.5,App
TXN-004-3,CUST-004,2026-03-31,Electronics,1818.1,Web
TXN-005-1,CUST-005,2025-07-21,Beauty,1147.63,Web
TXN-006-1,CUST-006,2025-05-08,Home,1833.31,Store
TXN-006-2,CUST-006,2025-12-12,Beauty,616.28,Web
TXN-006-3,CUST-006,2025-10-15,Fashion,1048.08,Store
TXN-006-4,CUST-006,2025-06-25,Home,1544.05,Web
TXN-006-5,CUST-006,2025-09-23,Beauty,1097.69,Web
TXN-006-6,CUST-006,2025-03-31,Beauty,601.62,Store
TXN-006-7,CUST-006,2025-04-22,Home,851.12,Web
TXN-006-8,CUST-006,2026-01-16,Electronics,2420.86,App
TXN-006-9,CUST-006,2025-12-22,Fashion,1361.8,Web
TXN-006-10,CUST-006,2025-08-13,Electronics,753.17,Web
TXN-007-1,CUST-007,2025-03-07,Beauty,584.65,Web
TXN-008-1,CUST-008,2025-10-13,Sports,1004.79,Web
TXN-008-2,CUST-008,2025-07-17,Electronics,1372.51,Store
TXN-009-1,CUST-009,2026-03-31,Beauty,1451.7,Web
TXN-009-2,CUST-009,2026-03-03,Sports,612.65,Web
TXN-009-3,CUST-009,2026-01-17,Sports,1255.4,Store
TXN-009-4,CUST-009,2026-02-05,Fashion,1324.39,Web
TXN-009-5,CUST-009,2025-11-08,Fashion,1003.54,Store
TXN-010-1,CUST-010,2025-06-26,Sports,2191.28,App
TXN-011-1,CUST-011,2026-02-01,Home,835.13,App
