Order ID,Order Date,Region,Salesperson,Channel,Category,Product,Quantity,Unit Price,Discount %,Revenue,Cost,Status
ORD-10001,2026-04-01,North,Meera,Referral,Fashion,Everyday Tee,1,699,15,594.15,314.54,Completed
ORD-10002,,North,Vikram,Email,Sports,Yoga Mat,3,1999,15,5097.45,4065.14,Completed
ORD-10003,2026-04-01,East,Diya,Social,Home,Desk Lamp,1,499,0,499.0,282.94,Completed
ORD-10004,2026-04-02,East,Vikram,Email,Sports,Water Bottle,2,699,15,1188.3,974.79,Completed
ORD-10005,2026-04-02,West,Meera,Paid Search,Fashion,Everyday Tee,1,899,0,899.0,531.24,Completed
ORD-10006,2026-04-02,West,Vikram,Email,Beauty,Body Lotion,3,1999,10,5397.3,4063.66,Completed
ORD-10007,2026-04-03,South,Rohan,Referral,Sports,Resistance Band,1,699,15,594.15,460.22,Completed
ORD-10008,2026-04-03,West,Vikram,Referral,Sports,Water Bottle,1,699,0,699.0,470.75,Completed
ORD-10009,2026-04-03,North,Rohan,Email,Beauty,Body Lotion,2,1199,10,2158.2,1686.11,Completed
ORD-10010,2026-04-04,East,Rohan,Referral,Beauty,Face Serum,2,499,15,848.3,697.17,Completed
ORD-10011,2026-04-04,South,Rohan,Paid Search,Home,Storage Box,1,1499,20,1199.2,803.69,Canceled
ORD-10012,2026-04-04, North,Rohan,Referral,Home,Coffee Press,1,499,15,424.15,297.37,Completed
ORD-10013,2026-04-05,West,Meera,Paid Search,Home,Coffee Press,3,1999,0,5997.0,3385.16,Completed
ORD-10014,2026-04-05, North,Diya,Referral,Fashion,Everyday Tee,2,1499,0,2998.0,2083.86,Completed
ORD-10015,2026-04-05,South,Meera,Organic,Fashion,Running Cap,2,699,10,1258.2,948.4,Completed
ORD-10016,2026-04-05, North,Diya,Paid Search,Beauty,Body Lotion,2,1199,5,2278.1,1267.53,Completed
ORD-10017,2026-04-05,South,Diya,Organic,Home,Coffee Press,2,699,5,1328.1,970.09,Completed
ORD-10018,,North,Zoya,Email,Electronics,Wireless Earbuds,1,1199,5,1139.05,653.38,Completed
ORD-10019,2026-04-05,West,Aarav,Referral,Sports,Resistance Band,3,1199,0,3597.0,1871.71,Completed
ORD-10020,2026-04-06,south,Aarav,Referral,Electronics,Phone Stand,1,2499,0,2499.0,1512.53,Completed
ORD-10021,2026-04-06,North,Rohan,Social,Beauty,Hair Oil,2,1499,10,2698.2,1384.72,Completed
ORD-10022,2026-04-06,East,Meera,Email,Electronics,Wireless Earbuds,2,1499,10,2698.2,2104.23,Returned
ORD-10023,06/04/2026,East,Diya,Paid Search,Home,Storage Box,2,1999,0,3998.0,2062.17,Completed
ORD-10024,2026-04-06,East,Zoya,Email,Electronics,Wireless Earbuds,3,1499,0,4497.0,2268.62,Completed
ORD-10025,2026-04-06,North,Vikram,Referral,Electronics,Phone Stand,2,2499,0,4998.0,2805.81,Completed
ORD-10026,2026-04-07,North,Aarav,Email,Electronics,Phone Stand,1,1499,0,1499.0,1060.8,Completed
ORD-10027,2026-04-07,South,Kabir,Paid Search,Home,Coffee Press,1,899,20,719.2,445.68,Completed
ORD-10028,2026-04-07,West,Diya,Social,Electronics,Wireless Earbuds,3,899,20,2157.6,1812.28,Canceled
ORD-10029,2026-04-08,West,Diya,Email,Home,Desk Lamp,2,899,0,1798.0,915.46,Completed
ORD-10030,2026-04-08,East ,Vikram,Email,Sports,Water Bottle,3,2499,10,6747.3,3408.8,Completed
ORD-10031,2026-04-08,East,Meera,Email,Beauty,Hair Oil,2,499,5,948.1,676.73,Completed
ORD-10032,2026-04-09,North,Kabir,Paid Search,Fashion,Running Cap,1,1999,20,1599.2,1285.57,Completed
ORD-10033,2026-04-09,West,Sara,Social,Beauty,Hair Oil,3,699,10,1887.3,1408.02,Completed
ORD-10034,2026-04-09,West,Sara,Organic,Beauty,Hair Oil,1,1499,5,1424.05,948.02,Completed
ORD-10035,2026-04-09,South,Meera,Social,Fashion,Everyday Tee,1,699,0,699.0,491.79,Completed
ORD-10036,2026-04-09,West,Zoya,Organic,Beauty,Face Serum,1,1999,15,1699.15,952.09,Completed
ORD-10037,2026-04-09,South,Vikram,Referral,Electronics,Smart Watch,1,2499,5,2374.05,1539.51,Completed
ORD-10038,2026-04-10,South,Rohan,Paid Search,Beauty,Body Lotion,1,2499,0,2499.0,1401.34,Completed
ORD-10039,2026-04-10,East,Zoya,Social,Fashion,Canvas Tote,2,499,0,998.0,524.83,Completed
ORD-10040,10/04/2026, North,Vikram,Referral,Home,Storage Box,2,2499,10,4498.2,3304.24,Canceled
ORD-10041,2026-04-10,South,Kabir,Referral,Beauty,Face Serum,1,1199,5,1139.05,682.91,Completed
ORD-10042,2026-04-10,North,Zoya,Email,Beauty,Hair Oil,2,1999,0,3998.0,2097.96,Completed
ORD-10043,2026-04-10, East,Aarav,Organic,Beauty,Body Lotion,2,899,20,1438.4,794.64,Completed
ORD-10044,2026-04-11,South,Diya,Paid Search,Electronics,Phone Stand,1,699,0,699.0,376.09,Completed
ORD-10045,2026-04-11,East,Meera,Organic,Electronics,Phone Stand,1,899,10,809.1,576.26,Completed
ORD-10046,2026-04-11,East,Zoya,Organic,Sports,Yoga Mat,2,2499,0,4998.0,3457.94,Completed
ORD-10047,2026-04-11,West,Zoya,Social,Fashion,Running Cap,2,1999,0,3998.0,2367.68,Completed
ORD-10048,2026-04-12,East,Kabir,Social,Fashion,Everyday Tee,1,899,5,854.05,622.38,Completed
ORD-10049,2026-04-12,,Zoya,Referral,Fashion,Canvas Tote,1,899,10,809.1,584.73,Completed
ORD-10050,2026-04-12,South,Zoya,Referral,Beauty,Hair Oil,3,1199,5,3417.15,2180.13,Completed
ORD-10051,2026-04-12,East,Kabir,Paid Search,Beauty,Hair Oil,2,899,0,1798.0,823.95,Completed
ORD-10052,2026-04-12,South,Aarav,Referral,Beauty,Body Lotion,3,1499,20,3597.6,2146.96,Completed
ORD-10053,2026-04-12,South,Zoya,Social,Fashion,Everyday Tee,1,1499,0,1499.0,904.95,Completed
ORD-10054,2026-04-13,East ,Rohan,Organic,Home,Desk Lamp,1,2499,5,2374.05,1168.89,Completed
ORD-10055,2026-04-13,South,Vikram,Email,Electronics,Phone Stand,2,1499,10,2698.2,2084.37,Completed
ORD-10056,2026-04-13,North,Vikram,Social,Sports,Resistance Band,1,2499,0,2499.0,1174.76,Completed
ORD-10057,2026-04-13,West,Meera,Social,Fashion,Everyday Tee,1,899,15,764.15,605.21,Completed
ORD-10058,2026-04-13,North,Rohan,Social,Sports,Yoga Mat,3,699,0,2097.0,1262.7,Completed
ORD-10059,2026-04-13,North,Sara,Referral,Beauty,Hair Oil,1,1999,5,1899.05,1115.94,Canceled
ORD-10060,2026-04-14,North,Kabir,Social,Electronics,Wireless Earbuds,3,2499,20,5997.6,3245.26,Completed
ORD-10061,2026-04-14,West,Kabir,Email,Fashion,Everyday Tee,2,1199,15,2038.3,1087.43,Completed
ORD-10062,2026-04-14,west,Aarav,Referral,Beauty,Body Lotion,3,1199,20,2877.6,1975.96,Completed
ORD-10063,2026-04-14,West,Rohan,Social,Beauty,Face Serum,1,1499,0,1499.0,692.42,Completed
ORD-10064,2026-04-14,West,Diya,Social,Electronics,Wireless Earbuds,3,1499,20,3597.6,3316.64,Completed
ORD-10065,2026-04-15,South,Kabir,Organic,Beauty,Hair Oil,1,1499,15,1274.15,813.58,Completed
ORD-10066,2026-04-15,East,Zoya,Referral,Beauty,Body Lotion,2,899,20,1438.4,1253.0,Completed
ORD-10067,2026-04-15,West,Vikram,Organic,Fashion,Canvas Tote,2,2499,10,4498.2,2711.67,Completed
ORD-10068,2026-04-16,West,Diya,Social,Beauty,Body Lotion,3,2499,20,5997.6,3945.21,Completed
ORD-10069,2026-04-16,North,Vikram,Organic,Sports,Water Bottle,1,1999,0,1999.0,1056.15,Completed
ORD-10070,2026-04-16,East,Rohan,Paid Search,Sports,Water Bottle,1,1999,15,1699.15,1277.38,Completed
ORD-10071,16/04/2026,North,Sara,Email,Beauty,Face Serum,3,1999,20,4797.6,2626.44,Completed
ORD-10072,2026-04-16,West,Zoya,Referral,Home,Desk Lamp,2,1199,10,2158.2,1531.37,Completed
ORD-10073,2026-04-17,South,Sara,Referral,Beauty,Hair Oil,1,1199,0,1199.0,531.92,Completed
ORD-10074,2026-04-17,East,Rohan,Email,Beauty,Hair Oil,1,1199,20,959.2,641.31,Completed
ORD-10075,2026-04-17,North,Rohan,Paid Search,Beauty,Body Lotion,1,1499,20,1199.2,1063.29,Completed
ORD-10076,2026-04-17,East,Aarav,Email,Home,Coffee Press,1,1499,0,1499.0,1062.92,Completed
ORD-10077,2026-04-18,North,Sara,Referral,Sports,Water Bottle,3,699,0,2097.0,1468.88,Completed
ORD-10078,2026-04-18,East,Vikram,Referral,Home,Storage Box,2,2499,0,4998.0,3644.94,Completed
ORD-10079,2026-04-18,East,Sara,Organic,Electronics,Smart Watch,1,899,10,809.1,561.28,Completed
ORD-10080,2026-04-18,South,Vikram,Organic,Beauty,Face Serum,2,1499,0,2998.0,1549.07,Completed
ORD-10081,2026-04-18,South,Vikram,Referral,Electronics,Wireless Earbuds,1,1199,0,1199.0,788.71,Completed
ORD-10082,2026-04-18,South,Meera,Email,Beauty,Hair Oil,1,2499,5,2374.05,1405.19,Completed
ORD-10083,2026-04-19,East,Aarav,Organic,Sports,Resistance Band,1,499,5,474.05,243.45,Completed
ORD-10084,2026-04-19,East,Aarav,Email,Home,Desk Lamp,2,699,0,1398.0,933.58,Completed
ORD-10085,2026-04-19,South,Aarav,Paid Search,Home,Coffee Press,1,2499,0,2499.0,1520.47,Completed
ORD-10086,2026-04-20,North,Aarav,Referral,Home,Coffee Press,2,1499,0,2998.0,1742.52,Completed
ORD-10087,2026-04-20,East,Sara,Referral,Beauty,Hair Oil,1,499,5,474.05,353.17,Completed
ORD-10088,2026-04-20,South,Vikram,Organic,Electronics,Wireless Earbuds,1,1499,15,1274.15,872.08,Completed
ORD-10089,2026-04-20,North,Sara,Email,Sports,Resistance Band,1,1199,5,1139.05,623.5,Completed
ORD-10090,2026-04-20,East,Sara,Organic,Home,Coffee Press,2,499,0,998.0,596.84,Completed
ORD-10091,2026-04-21,East,Sara,Referral,Beauty,Hair Oil,1,899,10,809.1,621.32,Completed
ORD-10092,2026-04-21,East,Rohan,Organic,Electronics,Smart Watch,2,699,20,1118.4,836.22,Completed
ORD-10093,2026-04-21,South,Aarav,Organic,Fashion,Running Cap,1,899,0,899.0,559.73,Completed
ORD-10094,2026-04-21,South,Kabir,Referral,Beauty,Body Lotion,2,899,0,1798.0,785.43,Completed
ORD-10095,2026-04-21,North,Rohan,Referral,Electronics,Smart Watch,2,1999,5,3798.1,2229.17,Completed
ORD-10096,2026-04-21,,Rohan,Email,Sports,Resistance Band,1,499,0,499.0,231.49,Completed
ORD-10097,2026-04-22,North,Vikram,Organic,Electronics,Smart Watch,3,1199,0,3597.0,1918.4,Completed
ORD-10098,2026-04-22,West,Sara,Paid Search,Electronics,Smart Watch,1,2499,0,2499.0,1066.26,Completed
ORD-10099,2026-04-22,West,Sara,Paid Search,Fashion,Everyday Tee,2,2499,0,4998.0,2642.16,Completed
ORD-10100,2026-04-22,North,Diya,Paid Search,Sports,Resistance Band,1,1499,10,1349.1,700.42,Completed
ORD-10101,2026-04-22,East,Zoya,Referral,Home,Desk Lamp,2,699,20,1118.4,839.35,Completed
ORD-10102,2026-04-23,East,Zoya,Organic,Fashion,Everyday Tee,2,499,5,948.1,518.29,Completed
ORD-10103,2026-04-23,North,Aarav,Social,Fashion,Canvas Tote,1,1999,20,1599.2,1449.98,Returned
ORD-10104,2026-04-23,South,Kabir,Organic,Fashion,Running Cap,2,1499,0,2998.0,1340.06,Canceled
ORD-10105,2026-04-23,South,Sara,Organic,Beauty,Body Lotion,2,1499,10,2698.2,1832.75,Completed
ORD-10106,2026-04-23,East,Kabir,Email,Electronics,Phone Stand,3,1199,0,3597.0,1604.55,Completed
ORD-10107,2026-04-23,East,Diya,Social,Beauty,Face Serum,2,1999,0,3998.0,2739.7,Completed
ORD-10108,2026-04-23,East,Diya,Referral,Electronics,Smart Watch,1,699,0,699.0,359.74,Completed
ORD-10109,2026-04-24,North,Aarav,Social,Fashion,Running Cap,1,1499,5,1424.05,975.52,Completed
ORD-10110,2026-04-24,East,Meera,Email,Home,Storage Box,2,899,20,1438.4,1025.01,Completed
ORD-10111,2026-04-24,West,Zoya,Email,Beauty,Body Lotion,2,1499,10,2698.2,1309.22,Completed
ORD-10112,2026-04-24,North,Zoya,Email,Sports,Yoga Mat,1,499,20,399.2,354.97,Completed
ORD-10113,24/04/2026,North,Sara,Paid Search,Beauty,Face Serum,2,1499,0,2998.0,2064.23,Completed
ORD-10114,24/04/2026,South,Kabir,Referral,Electronics,Smart Watch,2,1999,20,3198.4,2006.58,Completed
ORD-10115,2026-04-24,West,Aarav,Referral,Electronics,Smart Watch,1,899,0,899.0,637.97,Completed
ORD-10116,2026-04-25,South,Aarav,Social,Home,Storage Box,2,499,10,898.2,534.32,Completed
ORD-10117,2026-04-25,West,Sara,Paid Search,Electronics,Phone Stand,2,899,0,1798.0,814.8,Completed
ORD-10118,2026-04-25,North,Diya,Social,Fashion,Running Cap,1,2499,15,2124.15,1698.52,Completed
ORD-10119,2026-04-25,North,Aarav,Paid Search,Fashion,Everyday Tee,1,2499,0,2499.0,1428.15,Completed
