event_id,account_id,event_date,event_name
EV-001-1,ACC-001,2026-02-04,activation_complete
EV-001-2,ACC-001,2026-03-13,report_view
EV-002-1,ACC-002,2026-03-04,activation_complete
EV-002-2,ACC-002,2026-06-20,report_view
EV-003-1,ACC-003,2026-02-07,activation_complete
EV-003-2,ACC-003,2026-04-12,report_view
EV-003-3,ACC-003,2026-05-24,report_view
EV-004-1,ACC-004,2026-02-20,activation_complete
EV-004-2,ACC-004,2026-05-02,report_view
EV-005-2,ACC-005,2026-06-20,report_view
EV-006-1,ACC-006,2026-01-31,activation_complete
EV-006-2,ACC-006,2026-02-09,report_view
EV-007-1,ACC-007,2026-04-08,activation_complete
EV-007-2,ACC-007,2026-04-15,report_view
EV-008-1,ACC-008,2026-03-22,activation_complete
EV-008-2,ACC-008,2026-04-20,report_view
EV-009-1,ACC-009,2026-01-23,activation_complete
EV-009-2,ACC-009,2026-04-24,report_view
EV-009-3,ACC-009,2026-04-02,report_view
EV-009-4,ACC-009,2026-04-05,report_view
EV-009-5,ACC-009,2026-03-26,report_view
EV-010-2,ACC-010,2026-05-12,report_view
EV-010-3,ACC-010,2026-05-16,report_view
EV-011-1,ACC-011,2026-02-20,activation_complete
EV-011-2,ACC-011,2026-05-12,report_view
EV-011-3,ACC-011,2026-02-26,report_view
EV-011-4,ACC-011,2026-05-27,report_view
EV-011-5,ACC-011,2026-04-07,report_view
EV-012-1,ACC-012,2026-02-26,activation_complete
EV-012-2,ACC-012,2026-06-12,report_view
EV-012-3,ACC-012,2026-05-26,report_view
EV-012-4,ACC-012,2026-05-21,report_view
EV-012-5,ACC-012,2026-03-11,report_view
EV-013-1,ACC-013,2026-03-12,activation_complete
EV-013-2,ACC-013,2026-05-23,report_view
EV-013-3,ACC-013,2026-03-11,report_view
EV-013-4,ACC-013,2026-03-18,report_view
EV-013-5,ACC-013,2026-06-20,report_view
EV-014-1,ACC-014,2026-03-09,activation_complete
EV-014-2,ACC-014,2026-04-04,report_view
EV-015-1,ACC-015,2026-01-13,activation_complete
EV-015-2,ACC-015,2026-03-15,report_view
EV-015-3,ACC-015,2026-01-27,report_view
EV-015-4,ACC-015,2026-01-31,report_view
EV-015-5,ACC-015,2026-02-13,report_view
EV-016-1,ACC-016,2026-02-05,activation_complete
EV-016-2,ACC-016,2026-02-24,report_view
EV-016-3,ACC-016,2026-02-08,report_view
EV-017-1,ACC-017,2026-04-01,activation_complete
EV-017-2,ACC-017,2026-05-30,report_view
EV-017-3,ACC-017,2026-06-01,report_view
EV-017-4,ACC-017,2026-05-02,report_view
EV-017-5,ACC-017,2026-06-13,report_view
EV-018-1,ACC-018,2026-01-17,activation_complete
EV-018-2,ACC-018,2026-02-21,report_view
EV-018-3,ACC-018,2026-03-15,report_view
EV-018-4,ACC-018,2026-02-09,report_view
EV-019-1,ACC-019,2026-01-04,activation_complete
EV-019-2,ACC-019,2026-04-09,report_view
EV-020-2,ACC-020,2026-04-17,report_view
EV-020-3,ACC-020,2026-01-31,report_view
EV-021-1,ACC-021,2026-01-17,activation_complete
EV-021-2,ACC-021,2026-03-19,report_view
EV-021-3,ACC-021,2026-03-25,report_view
EV-021-4,ACC-021,2026-04-14,report_view
EV-021-5,ACC-021,2026-04-30,report_view
EV-022-1,ACC-022,2026-02-28,activation_complete
EV-022-2,ACC-022,2026-03-31,report_view
EV-022-3,ACC-022,2026-03-06,report_view
EV-022-4,ACC-022,2026-05-01,report_view
EV-023-1,ACC-023,2026-02-14,activation_complete
EV-023-2,ACC-023,2026-05-20,report_view
EV-023-3,ACC-023,2026-05-16,report_view
EV-023-4,ACC-023,2026-05-11,report_view
EV-024-1,ACC-024,2026-03-08,activation_complete
EV-024-2,ACC-024,2026-04-06,report_view
EV-024-3,ACC-024,2026-04-22,report_view
EV-024-4,ACC-024,2026-06-08,report_view
EV-024-5,ACC-024,2026-05-15,report_view
EV-025-2,ACC-025,2026-02-28,report_view
EV-025-3,ACC-025,2026-04-23,report_view
EV-026-1,ACC-026,2026-04-05,activation_complete
EV-026-2,ACC-026,2026-07-03,report_view
EV-027-1,ACC-027,2026-03-20,activation_complete
EV-027-2,ACC-027,2026-06-10,report_view
EV-027-3,ACC-027,2026-05-01,report_view
EV-028-1,ACC-028,2026-01-09,activation_complete
EV-028-2,ACC-028,2026-01-20,report_view
EV-028-3,ACC-028,2026-02-25,report_view
EV-028-4,ACC-028,2026-03-09,report_view
EV-029-1,ACC-029,2026-01-05,activation_complete
EV-029-2,ACC-029,2026-04-13,report_view
EV-029-3,ACC-029,2026-03-12,report_view
EV-029-4,ACC-029,2026-04-21,report_view
EV-029-5,ACC-029,2026-04-17,report_view
EV-030-2,ACC-030,2026-04-21,report_view
EV-030-3,ACC-030,2026-01-28,report_view
EV-030-4,ACC-030,2026-01-16,report_view
EV-030-5,ACC-030,2026-04-22,report_view
EV-031-1,ACC-031,2026-03-29,activation_complete
EV-031-2,ACC-031,2026-06-02,report_view
EV-031-3,ACC-031,2026-06-18,report_view
EV-032-1,ACC-032,2026-01-17,activation_complete
EV-032-2,ACC-032,2026-02-05,report_view
EV-033-1,ACC-033,2026-01-30,activation_complete
EV-033-2,ACC-033,2026-02-27,report_view
EV-033-3,ACC-033,2026-02-22,report_view
EV-033-4,ACC-033,2026-04-01,report_view
EV-033-5,ACC-033,2026-04-12,report_view
EV-034-1,ACC-034,2026-03-03,activation_complete
EV-034-2,ACC-034,2026-04-19,report_view
EV-034-3,ACC-034,2026-05-27,report_view
EV-035-2,ACC-035,2026-02-27,report_view
EV-035-3,ACC-035,2026-04-07,report_view
EV-035-4,ACC-035,2026-03-10,report_view
EV-036-1,ACC-036,2026-02-01,activation_complete
EV-036-2,ACC-036,2026-02-28,report_view
EV-036-3,ACC-036,2026-03-13,report_view
EV-037-1,ACC-037,2026-02-19,activation_complete
EV-037-2,ACC-037,2026-03-25,report_view
EV-037-3,ACC-037,2026-03-26,report_view
EV-037-4,ACC-037,2026-04-20,report_view
EV-037-5,ACC-037,2026-03-18,report_view
EV-038-1,ACC-038,2026-04-05,activation_complete
EV-038-2,ACC-038,2026-05-07,report_view
EV-039-1,ACC-039,2026-02-10,activation_complete
EV-039-2,ACC-039,2026-04-05,report_view
EV-039-3,ACC-039,2026-04-16,report_view
EV-039-4,ACC-039,2026-04-17,report_view
EV-039-5,ACC-039,2026-04-28,report_view
EV-040-1,ACC-040,2026-03-02,activation_complete
EV-040-2,ACC-040,2026-06-09,report_view
EV-040-3,ACC-040,2026-05-06,report_view
EV-040-4,ACC-040,2026-04-12,report_view
EV-040-5,ACC-040,2026-04-27,report_view
EV-041-1,ACC-041,2026-01-27,activation_complete
EV-041-2,ACC-041,2026-01-27,report_view
EV-041-3,ACC-041,2026-04-10,report_view
EV-041-4,ACC-041,2026-03-04,report_view
EV-042-1,ACC-042,2026-02-12,activation_complete
EV-042-2,ACC-042,2026-04-22,report_view
EV-043-1,ACC-043,2026-01-16,activation_complete
EV-043-2,ACC-043,2026-03-29,report_view
EV-043-3,ACC-043,2026-01-26,report_view
EV-043-4,ACC-043,2026-02-25,report_view
EV-044-1,ACC-044,2026-02-21,activation_complete
EV-044-2,ACC-044,2026-03-10,report_view
EV-044-3,ACC-044,2026-02-23,report_view
EV-045-2,ACC-045,2026-05-18,report_view
EV-045-3,ACC-045,2026-05-21,report_view
EV-045-4,ACC-045,2026-02-26,report_view
EV-046-1,ACC-046,2026-01-28,activation_complete
EV-046-2,ACC-046,2026-03-31,report_view
EV-047-1,ACC-047,2026-03-29,activation_complete
EV-047-2,ACC-047,2026-05-25,report_view
EV-048-1,ACC-048,2026-01-15,activation_complete
EV-048-2,ACC-048,2026-01-19,report_view
EV-049-1,ACC-049,2026-03-09,activation_complete
EV-049-2,ACC-049,2026-03-30,report_view
EV-050-2,ACC-050,2026-06-01,report_view
EV-051-1,ACC-051,2026-03-28,activation_complete
EV-051-2,ACC-051,2026-05-02,report_view
EV-051-3,ACC-051,2026-05-11,report_view
EV-052-1,ACC-052,2026-02-13,activation_complete
EV-052-2,ACC-052,2026-03-28,report_view
EV-052-3,ACC-052,2026-05-02,report_view
EV-053-1,ACC-053,2026-02-05,activation_complete
EV-053-2,ACC-053,2026-05-06,report_view
EV-053-3,ACC-053,2026-03-27,report_view
EV-053-4,ACC-053,2026-04-19,report_view
EV-053-5,ACC-053,2026-04-03,report_view
EV-054-1,ACC-054,2026-01-19,activation_complete
EV-054-2,ACC-054,2026-02-13,report_view
EV-054-3,ACC-054,2026-02-20,report_view
EV-054-4,ACC-054,2026-04-28,report_view
EV-054-5,ACC-054,2026-04-26,report_view
EV-055-1,ACC-055,2026-03-09,activation_complete
EV-055-2,ACC-055,2026-04-23,report_view
EV-055-3,ACC-055,2026-06-10,report_view
EV-055-4,ACC-055,2026-04-17,report_view
EV-055-5,ACC-055,2026-04-06,report_view
EV-056-1,ACC-056,2026-01-11,activation_complete
EV-056-2,ACC-056,2026-03-01,report_view
EV-057-1,ACC-057,2026-04-02,activation_complete
EV-057-2,ACC-057,2026-06-29,report_view
EV-057-3,ACC-057,2026-07-07,report_view
EV-057-4,ACC-057,2026-04-30,report_view
EV-057-5,ACC-057,2026-05-08,report_view
EV-058-1,ACC-058,2026-02-18,activation_complete
EV-058-2,ACC-058,2026-04-17,report_view
EV-058-3,ACC-058,2026-05-01,report_view
EV-058-4,ACC-058,2026-04-28,report_view
EV-059-1,ACC-059,2026-03-09,activation_complete
EV-059-2,ACC-059,2026-03-26,report_view
EV-059-3,ACC-059,2026-03-30,report_view
EV-059-4,ACC-059,2026-03-10,report_view
EV-059-5,ACC-059,2026-06-19,report_view
EV-060-2,ACC-060,2026-02-08,report_view
EV-060-3,ACC-060,2026-03-19,report_view
EV-060-4,ACC-060,2026-03-07,report_view
EV-060-5,ACC-060,2026-03-13,report_view
EV-061-1,ACC-061,2026-03-01,activation_complete
EV-061-2,ACC-061,2026-03-02,report_view
EV-061-3,ACC-061,2026-03-15,report_view
EV-061-4,ACC-061,2026-04-14,report_view
EV-061-5,ACC-061,2026-04-26,report_view
EV-062-1,ACC-062,2026-01-29,activation_complete
EV-062-2,ACC-062,2026-05-02,report_view
EV-062-3,ACC-062,2026-03-04,report_view
EV-062-4,ACC-062,2026-02-09,report_view
EV-063-1,ACC-063,2026-03-31,activation_complete
EV-063-2,ACC-063,2026-05-08,report_view
EV-063-3,ACC-063,2026-05-05,report_view
EV-064-1,ACC-064,2026-03-04,activation_complete
EV-064-2,ACC-064,2026-03-22,report_view
EV-064-3,ACC-064,2026-05-22,report_view
EV-064-4,ACC-064,2026-02-28,report_view
EV-065-2,ACC-065,2026-07-10,report_view
EV-066-1,ACC-066,2026-04-03,activation_complete
EV-066-2,ACC-066,2026-04-19,report_view
EV-066-3,ACC-066,2026-04-18,report_view
EV-066-4,ACC-066,2026-05-12,report_view
EV-066-5,ACC-066,2026-07-15,report_view
