subscription_id,account_id,status,start_date,cancel_date
SUB-001,ACC-001,paid,2026-02-03,
SUB-002,ACC-002,paid,2026-03-03,
SUB-003,ACC-003,paid,2026-02-06,
SUB-004,ACC-004,paid,2026-02-20,
SUB-005,ACC-005,canceled,2026-03-03,2026-03-24
SUB-006,ACC-006,paid,2026-01-27,
SUB-007,ACC-007,paid,2026-04-02,
SUB-008,ACC-008,paid,2026-03-16,
SUB-009,ACC-009,paid,2026-01-17,
SUB-010,ACC-010,canceled,2026-02-02,2026-03-16
SUB-011,ACC-011,paid,2026-02-20,
SUB-012,ACC-012,paid,2026-02-26,
SUB-013,ACC-013,paid,2026-03-10,
SUB-014,ACC-014,paid,2026-03-04,
SUB-015,ACC-015,paid,2026-01-13,
SUB-016,ACC-016,paid,2026-02-04,
SUB-017,ACC-017,paid,2026-03-28,
SUB-018,ACC-018,paid,2026-01-15,
SUB-019,ACC-019,paid,2026-01-04,
SUB-020,ACC-020,canceled,2026-01-20,2026-03-10
SUB-021,ACC-021,paid,2026-01-15,
SUB-022,ACC-022,paid,2026-02-22,
SUB-023,ACC-023,canceled,2026-02-12,2026-04-19
SUB-024,ACC-024,paid,2026-03-04,
SUB-025,ACC-025,canceled,2026-01-12,2026-02-07
SUB-026,ACC-026,paid,2026-04-01,
SUB-027,ACC-027,paid,2026-03-18,
SUB-028,ACC-028,paid,2026-01-09,
SUB-029,ACC-029,paid,2026-01-02,
SUB-030,ACC-030,canceled,2026-01-11,2026-01-30
SUB-031,ACC-031,paid,2026-03-24,
SUB-032,ACC-032,paid,2026-01-13,
SUB-033,ACC-033,paid,2026-01-28,
SUB-034,ACC-034,paid,2026-02-26,
SUB-035,ACC-035,canceled,2026-01-14,2026-03-13
SUB-036,ACC-036,paid,2026-01-26,
SUB-037,ACC-037,paid,2026-02-15,
SUB-038,ACC-038,paid,2026-04-01,
SUB-039,ACC-039,paid,2026-02-08,
SUB-040,ACC-040,paid,2026-02-25,
SUB-041,ACC-041,paid,2026-01-23,
SUB-042,ACC-042,paid,2026-02-07,
SUB-043,ACC-043,paid,2026-01-11,
SUB-044,ACC-044,paid,2026-02-16,
SUB-045,ACC-045,canceled,2026-02-08,2026-04-22
SUB-046,ACC-046,canceled,2026-01-24,2026-03-12
SUB-047,ACC-047,paid,2026-03-24,
SUB-048,ACC-048,paid,2026-01-15,
SUB-049,ACC-049,paid,2026-03-05,
SUB-050,ACC-050,canceled,2026-03-08,2026-05-01
SUB-051,ACC-051,paid,2026-03-27,
SUB-052,ACC-052,paid,2026-02-09,
SUB-053,ACC-053,paid,2026-02-02,
SUB-054,ACC-054,paid,2026-01-14,
SUB-055,ACC-055,paid,2026-03-07,
SUB-056,ACC-056,paid,2026-01-05,
SUB-057,ACC-057,paid,2026-03-29,
SUB-058,ACC-058,paid,2026-02-13,
SUB-059,ACC-059,paid,2026-03-06,
SUB-060,ACC-060,canceled,2026-01-06,2026-02-15
SUB-061,ACC-061,paid,2026-02-25,
SUB-062,ACC-062,paid,2026-01-25,
SUB-063,ACC-063,paid,2026-03-31,
SUB-064,ACC-064,paid,2026-02-27,
SUB-065,ACC-065,canceled,2026-03-30,2026-06-05
SUB-066,ACC-066,paid,2026-04-02,
SUB-067,ACC-067,paid,2026-01-15,
SUB-068,ACC-068,paid,2026-02-21,
SUB-069,ACC-069,canceled,2026-01-16,2026-02-17
SUB-070,ACC-070,paid,2026-01-13,
SUB-071,ACC-071,paid,2026-01-05,
SUB-072,ACC-072,paid,2026-01-16,
SUB-073,ACC-073,paid,2026-01-23,
SUB-074,ACC-074,paid,2026-01-10,
SUB-075,ACC-075,canceled,2026-03-10,2026-05-18
SUB-076,ACC-076,paid,2026-03-01,
SUB-077,ACC-077,paid,2026-02-10,
SUB-078,ACC-078,paid,2026-02-26,
SUB-079,ACC-079,paid,2026-02-07,
SUB-080,ACC-080,paid,2026-03-31,
SUB-081,ACC-081,paid,2026-03-03,
SUB-082,ACC-082,paid,2026-03-15,
SUB-083,ACC-083,paid,2026-03-14,
SUB-084,ACC-084,paid,2026-02-22,
SUB-085,ACC-085,paid,2026-02-19,
SUB-086,ACC-086,paid,2026-03-01,
SUB-087,ACC-087,paid,2026-03-18,
SUB-088,ACC-088,paid,2026-01-08,
SUB-089,ACC-089,paid,2026-03-02,
SUB-090,ACC-090,canceled,2026-02-18,2026-03-17
SUB-091,ACC-091,paid,2026-02-22,
SUB-092,ACC-092,canceled,2026-01-29,2026-02-23
SUB-093,ACC-093,paid,2026-01-04,
SUB-094,ACC-094,paid,2026-03-25,
SUB-095,ACC-095,paid,2026-01-06,
SUB-096,ACC-096,paid,2026-03-15,
SUB-097,ACC-097,paid,2026-03-10,
SUB-098,ACC-098,paid,2026-02-16,
SUB-099,ACC-099,paid,2026-01-16,
SUB-100,ACC-100,canceled,2026-01-07,2026-01-25
SUB-101,ACC-101,paid,2026-02-01,
SUB-102,ACC-102,paid,2026-03-10,
SUB-103,ACC-103,paid,2026-03-06,
SUB-104,ACC-104,paid,2026-02-15,
SUB-105,ACC-105,paid,2026-02-18,
SUB-106,ACC-106,paid,2026-03-23,
SUB-107,ACC-107,paid,2026-01-11,
SUB-108,ACC-108,paid,2026-01-24,
SUB-109,ACC-109,paid,2026-03-24,
SUB-110,ACC-110,canceled,2026-02-03,2026-04-04
SUB-111,ACC-111,paid,2026-03-02,
SUB-112,ACC-112,paid,2026-02-13,
SUB-113,ACC-113,paid,2026-03-10,
SUB-114,ACC-114,paid,2026-01-18,
SUB-115,ACC-115,canceled,2026-03-16,2026-04-08
SUB-116,ACC-116,paid,2026-03-19,
SUB-117,ACC-117,paid,2026-01-24,
SUB-118,ACC-118,paid,2026-02-25,
SUB-119,ACC-119,paid,2026-02-28,
SUB-120,ACC-120,canceled,2026-03-23,2026-05-28
