ticket_id,account_id,created_date,first_response_hours,ticket_type
TKT-004,ACC-004,2026-03-09,30,onboarding
TKT-008,ACC-008,2026-04-14,30,onboarding
TKT-012,ACC-012,2026-03-08,10,onboarding
TKT-016,ACC-016,2026-02-08,6,onboarding
TKT-020,ACC-020,2026-02-17,6,onboarding
TKT-024,ACC-024,2026-04-19,10,onboarding
TKT-028,ACC-028,2026-02-20,30,onboarding
TKT-032,ACC-032,2026-03-02,18,onboarding
TKT-036,ACC-036,2026-02-10,6,onboarding
TKT-040,ACC-040,2026-03-29,18,onboarding
TKT-044,ACC-044,2026-03-20,30,onboarding
TKT-048,ACC-048,2026-01-19,10,onboarding
TKT-052,ACC-052,2026-03-10,18,onboarding
TKT-056,ACC-056,2026-01-11,6,onboarding
TKT-060,ACC-060,2026-01-12,10,onboarding
TKT-064,ACC-064,2026-04-04,18,onboarding
TKT-068,ACC-068,2026-03-13,18,onboarding
TKT-072,ACC-072,2026-02-19,6,onboarding
TKT-076,ACC-076,2026-03-09,6,onboarding
TKT-080,ACC-080,2026-05-02,30,onboarding
TKT-084,ACC-084,2026-03-29,6,onboarding
TKT-088,ACC-088,2026-01-26,6,onboarding
TKT-092,ACC-092,2026-02-08,30,onboarding
TKT-096,ACC-096,2026-04-09,3,onboarding
TKT-100,ACC-100,2026-02-11,18,onboarding
TKT-104,ACC-104,2026-03-12,10,onboarding
TKT-108,ACC-108,2026-02-04,18,onboarding
TKT-112,ACC-112,2026-03-29,30,onboarding
TKT-116,ACC-116,2026-03-30,3,onboarding
TKT-120,ACC-120,2026-04-24,18,onboarding
